cve_id,downstream_version,file_name,relative_line_count_similarity,token_level_edit_similarity,normalized_edit_similarity,cosine_similarity_openai,codebert_precision,codebert_recall,codebert_f1,codebert_f3
ASB-A-363248394,12,src/com/android/settings/notification/NotificationAccessConfirmationActivity.java,0.8895,0.8717,0.8717,0.9686,0.9446,0.9226,0.9335,0.9248
ASB-A-363248394,12L,src/com/android/settings/notification/NotificationAccessConfirmationActivity.java,0.8895,0.8717,0.8717,0.9685,0.9446,0.9226,0.9335,0.9248
ASB-A-277207798,13,core/java/com/android/internal/app/ChooserActivity.java,0.9334,0.1926,0.1926,,0.9549,0.9475,0.9512,0.9482
ASB-A-352542820,12,src/com/android/settings/users/UserSettings.java,0.6919,0.4987,0.4987,skipped,0.95,0.9205,0.935,0.9234
ASB-A-352542820,12L,src/com/android/settings/users/UserSettings.java,0.6919,0.4987,0.4987,skipped,0.95,0.9205,0.935,0.9234
ASB-A-352542820,13,src/com/android/settings/users/UserSettings.java,0.746,0.7307,0.7307,skipped,0.9513,0.9294,0.9403,0.9316
ASB-A-352542820,14,src/com/android/settings/users/UserSettings.java,0.9295,0.9013,0.9013,skipped,0.964,0.9571,0.9606,0.9578
ASB-A-296915500,13,android/app/src/com/android/bluetooth/opp/BluetoothOppSendFileInfo.java,0.6936,0.8405,0.8405,0.9742,0.9555,0.9398,0.9476,0.9414
ASB-A-296915500,14,android/app/src/com/android/bluetooth/opp/BluetoothOppSendFileInfo.java,0.7103,0.8623,0.8623,0.9744,0.9589,0.9444,0.9516,0.9459
