cve_id,downstream_version,file_name,upstream_file,downstream_file
ASB-A-363248394,12,src/com/android/settings/notification/NotificationAccessConfirmationActivity.java,input/upstream_commit/ASB-A-363248394_12_src_com_android_settings_notification_NotificationAccessConfirmationActivity.java_upstream.java,input/downstream_commit/ASB-A-363248394_12_src_com_android_settings_notification_NotificationAccessConfirmationActivity.java_downstream.java
ASB-A-363248394,12L,src/com/android/settings/notification/NotificationAccessConfirmationActivity.java,input/upstream_commit/ASB-A-363248394_12L_src_com_android_settings_notification_NotificationAccessConfirmationActivity.java_upstream.java,input/downstream_commit/ASB-A-363248394_12L_src_com_android_settings_notification_NotificationAccessConfirmationActivity.java_downstream.java
ASB-A-277207798,13,core/java/com/android/internal/app/ChooserActivity.java,input/upstream_commit/ASB-A-277207798_13_core_java_com_android_internal_app_ChooserActivity.java_upstream.java,input/downstream_commit/ASB-A-277207798_13_core_java_com_android_internal_app_ChooserActivity.java_downstream.java
ASB-A-352542820,12,src/com/android/settings/users/UserSettings.java,input/upstream_commit/ASB-A-352542820_12_src_com_android_settings_users_UserSettings.java_upstream.java,input/downstream_commit/ASB-A-352542820_12_src_com_android_settings_users_UserSettings.java_downstream.java
ASB-A-352542820,12L,src/com/android/settings/users/UserSettings.java,input/upstream_commit/ASB-A-352542820_12L_src_com_android_settings_users_UserSettings.java_upstream.java,input/downstream_commit/ASB-A-352542820_12L_src_com_android_settings_users_UserSettings.java_downstream.java
ASB-A-352542820,13,src/com/android/settings/users/UserSettings.java,input/upstream_commit/ASB-A-352542820_13_src_com_android_settings_users_UserSettings.java_upstream.java,input/downstream_commit/ASB-A-352542820_13_src_com_android_settings_users_UserSettings.java_downstream.java
ASB-A-352542820,14,src/com/android/settings/users/UserSettings.java,input/upstream_commit/ASB-A-352542820_14_src_com_android_settings_users_UserSettings.java_upstream.java,input/downstream_commit/ASB-A-352542820_14_src_com_android_settings_users_UserSettings.java_downstream.java
ASB-A-296915500,13,android/app/src/com/android/bluetooth/opp/BluetoothOppSendFileInfo.java,input/upstream_commit/ASB-A-296915500_13_android_app_src_com_android_bluetooth_opp_BluetoothOppSendFileInfo.java_upstream.java,input/downstream_commit/ASB-A-296915500_13_android_app_src_com_android_bluetooth_opp_BluetoothOppSendFileInfo.java_downstream.java
ASB-A-296915500,14,android/app/src/com/android/bluetooth/opp/BluetoothOppSendFileInfo.java,input/upstream_commit/ASB-A-296915500_14_android_app_src_com_android_bluetooth_opp_BluetoothOppSendFileInfo.java_upstream.java,input/downstream_commit/ASB-A-296915500_14_android_app_src_com_android_bluetooth_opp_BluetoothOppSendFileInfo.java_downstream.java
ASB-A-370840874,12,libs/binder/Parcel.cpp,input/upstream_commit/ASB-A-370840874_12_libs_binder_Parcel.cpp_upstream.java,input/downstream_commit/ASB-A-370840874_12_libs_binder_Parcel.cpp_downstream.java
ASB-A-370840874,12L,libs/binder/Parcel.cpp,input/upstream_commit/ASB-A-370840874_12L_libs_binder_Parcel.cpp_upstream.java,input/downstream_commit/ASB-A-370840874_12L_libs_binder_Parcel.cpp_downstream.java
ASB-A-369103643,13,services/core/java/com/android/server/wm/WindowOrganizerController.java,input/upstream_commit/ASB-A-369103643_13_services_core_java_com_android_server_wm_WindowOrganizerController.java_upstream.java,input/downstream_commit/ASB-A-369103643_13_services_core_java_com_android_server_wm_WindowOrganizerController.java_downstream.java
ASB-A-369103643,14,services/core/java/com/android/server/wm/WindowOrganizerController.java,input/upstream_commit/ASB-A-369103643_14_services_core_java_com_android_server_wm_WindowOrganizerController.java_upstream.java,input/downstream_commit/ASB-A-369103643_14_services_core_java_com_android_server_wm_WindowOrganizerController.java_downstream.java
ASB-A-364027038,13,system/stack/gatt/gatt_sr.cc,input/upstream_commit/ASB-A-364027038_13_system_stack_gatt_gatt_sr.cc_upstream.java,input/downstream_commit/ASB-A-364027038_13_system_stack_gatt_gatt_sr.cc_downstream.java
ASB-A-364027038,14,system/stack/gatt/gatt_sr.cc,input/upstream_commit/ASB-A-364027038_14_system_stack_gatt_gatt_sr.cc_upstream.java,input/downstream_commit/ASB-A-364027038_14_system_stack_gatt_gatt_sr.cc_downstream.java
ASB-A-364026473,13,system/stack/gatt/gatt_sr.cc,input/upstream_commit/ASB-A-364026473_13_system_stack_gatt_gatt_sr.cc_upstream.java,input/downstream_commit/ASB-A-364026473_13_system_stack_gatt_gatt_sr.cc_downstream.java
ASB-A-364026473,14,system/stack/gatt/gatt_sr.cc,input/upstream_commit/ASB-A-364026473_14_system_stack_gatt_gatt_sr.cc_upstream.java,input/downstream_commit/ASB-A-364026473_14_system_stack_gatt_gatt_sr.cc_downstream.java
ASB-A-317203980,13,services/core/java/com/android/server/media/MediaSessionRecord.java,input/upstream_commit/ASB-A-317203980_13_services_core_java_com_android_server_media_MediaSessionRecord.java_upstream.java,input/downstream_commit/ASB-A-317203980_13_services_core_java_com_android_server_media_MediaSessionRecord.java_downstream.java
