cve_id,result,num_failed_hunks,patching_error_type,has_rej_file,has_inline_conflict,upstream_commit_date,commit_date,days_between_commits,loc_diff_size,inline_conflict_lines,conflict_file_name,ast_node_diff_count,function_scope_change,number_of_changed_functions
CVE-2025-21721,failure,6,hunk_failed,1,1,2025-01-24 22:47:25 -0800,2025-03-13 12:53:25 +0100,47,107,71,fs/nilfs2/dir.c ---,1889,0,0
CVE-2025-21722,failure,3,other,1,1,2025-01-24 22:47:24 -0800,2025-02-21 13:50:10 +0100,27,61,54,fs/nilfs2/page.c ---,886,1,1
CVE-2025-21722,failure,3,other,1,1,2025-01-24 22:47:24 -0800,2025-03-13 12:43:18 +0100,47,61,54,fs/nilfs2/page.c ---,908,1,1
CVE-2025-21722,failure,3,other,1,1,2025-01-24 22:47:24 -0800,2025-03-13 12:47:23 +0100,47,49,43,fs/nilfs2/page.c ---,784,1,1
CVE-2025-21722,failure,3,other,1,1,2025-01-24 22:47:24 -0800,2025-03-13 12:50:45 +0100,47,49,43,fs/nilfs2/page.c ---,784,1,1
CVE-2025-21724,failure,0,file_missing,0,0,2025-01-14 13:53:18 -0400,2025-02-08 09:52:22 +0100,24,0,0,,18,0,0
CVE-2025-21724,failure,0,file_missing,0,0,2025-01-14 13:53:18 -0400,2025-02-21 13:49:17 +0100,37,0,0,,18,0,0
CVE-2025-21748,failure,0,file_missing,0,0,2025-01-15 23:24:51 -0600,2025-03-13 12:50:48 +0100,56,0,0,,18,0,0
CVE-2025-21755,failure,1,hunk_failed,1,0,2025-02-12 20:01:28 -0800,2025-03-13 12:47:44 +0100,28,8,0,net/vmw_vsock/af_vsock.c ---,210,0,0
CVE-2025-21756,failure,1,other,1,1,2025-01-29 18:50:36 -0800,2025-03-13 12:47:44 +0100,42,9,8,net/vmw_vsock/af_vsock.c ---,268,0,0
CVE-2025-21757,failure,1,file_missing,1,1,2025-02-01 16:55:30 -0800,2025-03-13 12:47:45 +0100,39,23,25,net/ipv6/seg6_iptunnel.c ---,412,0,0
CVE-2025-21757,failure,3,other,1,1,2025-02-01 16:55:30 -0800,2025-03-13 12:51:13 +0100,39,28,31,net/ipv6/ioam6_iptunnel.c ---,762,1,1
